Title,Author,Character,Gender,Location,Longitude,Latitude
Puck,Ouida,Remy,Male,Paris,0.230698,43.993307
Puck,Ouida,Tambour,Male,Paris,0.230698,43.993307
Puck,Ouida,Mariquita,Female,Paris,0.230698,43.993307
Puck,Ouida,Royston Wressyl,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Royston Wressyl,Male,Leviathon,-0.082225,51.512714
Puck,Ouida,Mrs. Riversleigh,Female,Park,-0.165772,51.507241
Puck,Ouida,Mrs. Riversleigh,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Mrs. Riversleigh,Female,Leviathon,-0.082225,51.512714
Puck,Ouida,Margett Llansaint,Female,Esher ,-0.36567,51.369621
Puck,Ouida,Patch,Male,Esher ,-0.36567,51.369621
Puck,Ouida,"Lady Hilda St. Maurice,",Female,Rotten Row,-0.165731,51.507282
Puck,Ouida, Countess of Grancedieu,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Duchess of Llandrysyl,Female,North wales,-3.847175,53.197682
Puck,Ouida,Duchess of Llandrysyl,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Ida Warwick,Female,Belgravia,-0.154895,51.498393
Puck,Ouida,Ida Warwick,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida, Lady Cississiter,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida, Lady Cississiter,Female,Richmond,-0.303846,51.4642
Puck,Ouida,Cissister,Male,Richmond ,-0.303846,51.4642
Puck,Ouida,John Beaudesert,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Beatrice Leintwardine ,Female,Eton,-0.60905,51.48798
Puck,Ouida,Eblis,Unknown,South Kensington ,-0.178883,51.496107
Puck,Ouida,Abney Arcot,Male,Richmond ,-0.303846,51.4642
Puck,Ouida,Lord Shamrock.,Male,Hyde park,-0.165772,51.507241
